call_type, caller_msisdn, receiver_msisdn, start_time, end_time
02, 79907778800, 79993335577, 2025-05-01T00:12:00, 2025-05-01T00:24:00
02, 79907778800, 79993335577, 2025-05-01T00:12:00, 2025-05-01T00:24:00
01, 79993335577, 79907778800, 2025-05-01T00:12:00, 2025-05-01T00:24:00
01, 79993335577, 79907778800, 2025-05-01T00:12:00, 2025-05-01T00:24:00
02, 79903335588, 79908880033, 2025-05-01T01:04:00, 2025-05-01T01:13:00
02, 79903335588, 79908880033, 2025-05-01T01:04:00, 2025-05-01T01:13:00
01, 79908880033, 79903335588, 2025-05-01T01:04:00, 2025-05-01T01:13:00
01, 79908880033, 79903335588, 2025-05-01T01:04:00, 2025-05-01T01:13:00
01, 79993335577, 79903335588, 2025-05-01T01:28:00, 2025-05-01T01:48:00
01, 79993335577, 79903335588, 2025-05-01T01:28:00, 2025-05-01T01:48:00
