call_type, caller_msisdn, receiver_msisdn, start_time, end_time
02, 79900001144, 79992224466, 2025-05-01T06:24:00, 2025-05-01T06:28:00
01, 79992224466, 79900001144, 2025-05-01T06:24:00, 2025-05-01T06:28:00
01, 79906667799, 79900001144, 2025-05-01T06:36:00, 2025-05-01T06:53:00
02, 79900001144, 79906667799, 2025-05-01T06:36:00, 2025-05-01T06:53:00
01, 79909991144, 79992224466, 2025-05-01T06:44:00, 2025-05-01T06:46:00
02, 79992224466, 79909991144, 2025-05-01T06:44:00, 2025-05-01T06:46:00
02, 79994445577, 79996668800, 2025-05-01T07:04:00, 2025-05-01T07:40:00
01, 79996668800, 79994445577, 2025-05-01T07:04:00, 2025-05-01T07:40:00
02, 79907779922, 79902224477, 2025-05-01T07:13:00, 2025-05-01T07:41:00
01, 79902224477, 79907779922, 2025-05-01T07:13:00, 2025-05-01T07:41:00
