call_type, caller_msisdn, receiver_msisdn, start_time, end_time
01, 768787276955, 745718174428, 2025-04-30T21:25:00, 2025-04-30T22:17:00
02, 745718174428, 768787276955, 2025-04-30T21:25:00, 2025-04-30T22:17:00
01, 768085173385, 757305296302, 2025-04-30T21:53:00, 2025-04-30T22:38:00
02, 757305296302, 768085173385, 2025-04-30T21:53:00, 2025-04-30T22:38:00
01, 753516880223, 742967094035, 2025-04-30T22:09:00, 2025-04-30T22:45:00
02, 742967094035, 753516880223, 2025-04-30T22:09:00, 2025-04-30T22:45:00
02, 783844485339, 705486670784, 2025-04-30T22:26:00, 2025-04-30T23:01:00
01, 705486670784, 783844485339, 2025-04-30T22:26:00, 2025-04-30T23:01:00
01, 774980358096, 704396580245, 2025-04-30T23:06:00, 2025-04-30T23:51:00
02, 704396580245, 774980358096, 2025-04-30T23:06:00, 2025-04-30T23:51:00
