call_type, caller_msisdn, receiver_msisdn, start_time, end_time
01, 79901113366, 79994446688, 2025-04-29T23:46:00, 2025-04-30T00:16:00
02, 79994446688, 79901113366, 2025-04-29T23:46:00, 2025-04-30T00:16:00
02, 79909990022, 79907779922, 2025-04-30T00:02:00, 2025-04-30T00:37:00
01, 79907779922, 79909990022, 2025-04-30T00:02:00, 2025-04-30T00:37:00
01, 79998880022, 79901113366, 2025-04-29T23:29:00, 2025-04-30T00:11:00
02, 79901113366, 79998880022, 2025-04-29T23:29:00, 2025-04-30T00:11:00
01, 79992223355, 79909990022, 2025-04-30T00:00:00, 2025-04-30T00:33:00
02, 79909990022, 79992223355, 2025-04-30T00:00:00, 2025-04-30T00:33:00
01, 79907778800, 79907779922, 2025-04-29T23:10:00, 2025-04-29T23:43:00
02, 79907779922, 79907778800, 2025-04-29T23:10:00, 2025-04-29T23:43:00
