call_type, caller_msisdn, receiver_msisdn, start_time, end_time
01, 79908880033, 79909991144, 2025-04-30T04:02:00, 2025-04-30T04:45:00
02, 79909991144, 79908880033, 2025-04-30T04:02:00, 2025-04-30T04:45:00
02, 79993335577, 79906667799, 2025-04-30T05:11:00, 2025-04-30T05:23:00
01, 79906667799, 79993335577, 2025-04-30T05:11:00, 2025-04-30T05:23:00
01, 79902224477, 79990001133, 2025-04-30T06:52:00, 2025-04-30T07:06:00
02, 79990001133, 79902224477, 2025-04-30T06:52:00, 2025-04-30T07:06:00
02, 79907778800, 79992224466, 2025-04-30T07:06:00, 2025-04-30T07:06:00
01, 79992224466, 79907778800, 2025-04-30T07:06:00, 2025-04-30T07:06:00
02, 79990001133, 79994445577, 2025-04-30T07:39:00, 2025-04-30T08:08:00
01, 79994445577, 79990001133, 2025-04-30T07:39:00, 2025-04-30T08:08:00
