call_type, caller_msisdn, receiver_msisdn, start_time, end_time
02, 79909991144, 79907779922, 2025-04-30T00:00:00, 2025-04-30T00:59:00
01, 79907779922, 79909991144, 2025-04-30T00:00:00, 2025-04-30T00:59:00
01, 79909990022, 79906667799, 2025-04-30T00:21:00, 2025-04-30T01:12:00
02, 79906667799, 79909990022, 2025-04-30T00:21:00, 2025-04-30T01:12:00
02, 79993335577, 79990001133, 2025-04-30T00:50:00, 2025-04-30T01:46:00
01, 79990001133, 79993335577, 2025-04-30T00:50:00, 2025-04-30T01:46:00
01, 79994445577, 79908889911, 2025-04-30T00:50:00, 2025-04-30T03:58:00
02, 79908889911, 79994445577, 2025-04-30T00:50:00, 2025-04-30T03:58:00
02, 79995556688, 79993334466, 2025-04-30T01:03:00, 2025-04-30T01:14:00
01, 79993334466, 79995556688, 2025-04-30T01:03:00, 2025-04-30T01:14:00
