call_type, caller_msisdn, receiver_msisdn, start_time, end_time
02, 79991113355, 79906668811, 2025-04-30T16:02:00, 2025-04-30T16:32:00
01, 79906668811, 79991113355, 2025-04-30T16:02:00, 2025-04-30T16:32:00
02, 79995557799, 79995556688, 2025-04-30T16:11:00, 2025-04-30T16:45:00
01, 79995556688, 79995557799, 2025-04-30T16:11:00, 2025-04-30T16:45:00
02, 79992224466, 79991112244, 2025-04-30T16:47:00, 2025-04-30T17:19:00
01, 79991112244, 79992224466, 2025-04-30T16:47:00, 2025-04-30T17:19:00
01, 79992224466, 79994446688, 2025-04-30T16:47:00, 2025-04-30T16:57:00
02, 79994446688, 79992224466, 2025-04-30T16:47:00, 2025-04-30T16:57:00
02, 79994446688, 79905557700, 2025-04-30T16:47:00, 2025-04-30T17:34:00
01, 79905557700, 79994446688, 2025-04-30T16:47:00, 2025-04-30T17:34:00
